"","monitoring_period","date","site","plot_id","treatment","replicate_number","tag_color","source_population","parent_number","observer","number_gravels_remaining","number_gravels_with_kelp","length_mm","holdfast_diameter_mm","urchins","notes","days_old","total_length_cm","parent_temp_days","site_temp_days","site_plot_id","site_replicate","transplant"
"301","first",2023-04-03,"cool","10W7","10W","7","red","warm","ten","Clay Steell",17,16,34,NA,0,"2 out of plot with no blades","55",3.4,"ten_warm_55","cool_warm_55","cool_10W7","cool_7","cool_warm"
"302","first",2023-04-03,"cool","10W7","10W","7","red","warm","ten","Clay Steell",17,16,36,NA,0,"2 out of plot with no blades","55",3.6,"ten_warm_55","cool_warm_55","cool_10W7","cool_7","cool_warm"
"303","first",2023-04-03,"cool","10W7","10W","7","red","warm","ten","Clay Steell",17,16,40,NA,0,"2 out of plot with no blades","55",4,"ten_warm_55","cool_warm_55","cool_10W7","cool_7","cool_warm"
"304","first",2023-04-03,"cool","10W7","10W","7","red","warm","ten","Clay Steell",17,16,42,NA,0,"2 out of plot with no blades","55",4.2,"ten_warm_55","cool_warm_55","cool_10W7","cool_7","cool_warm"
"305","first",2023-04-03,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",16,13,45,NA,0,"One gravel on a sand bag and I moved it inside; One gravel outside plot","55",4.5,"two_cool_55","cool_cool_55","cool_2C7","cool_7","cool_cool"
"306","first",2023-04-03,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",16,13,45,NA,0,"One gravel on a sand bag and I moved it inside; One gravel outside plot","55",4.5,"two_cool_55","cool_cool_55","cool_2C7","cool_7","cool_cool"
"307","first",2023-04-03,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",16,13,47,NA,0,"One gravel on a sand bag and I moved it inside; One gravel outside plot","55",4.7,"two_cool_55","cool_cool_55","cool_2C7","cool_7","cool_cool"
"308","first",2023-04-03,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",16,13,55,NA,0,"One gravel on a sand bag and I moved it inside; One gravel outside plot","55",5.5,"two_cool_55","cool_cool_55","cool_2C7","cool_7","cool_cool"
"309","first",2023-04-03,"cool","2C7","2C","7","blue","cool","two","Lauren Dykman",16,13,57,NA,0,"One gravel on a sand bag and I moved it inside; One gravel outside plot","55",5.7,"two_cool_55","cool_cool_55","cool_2C7","cool_7","cool_cool"
"310","first",2023-04-03,"cool","2W7","2W","7","orange","warm","two","Siobhan Gray",13,11,41,NA,0,"Only 3 sand bags","55",4.1,"two_warm_55","cool_warm_55","cool_2W7","cool_7","cool_warm"
"311","first",2023-04-03,"cool","2W7","2W","7","orange","warm","two","Siobhan Gray",13,11,43,NA,0,"Only 3 sand bags","55",4.3,"two_warm_55","cool_warm_55","cool_2W7","cool_7","cool_warm"
"312","first",2023-04-03,"cool","2W7","2W","7","orange","warm","two","Siobhan Gray",13,11,48,NA,0,"Only 3 sand bags","55",4.8,"two_warm_55","cool_warm_55","cool_2W7","cool_7","cool_warm"
"313","first",2023-04-03,"cool","2W7","2W","7","orange","warm","two","Siobhan Gray",13,11,52,NA,0,"Only 3 sand bags","55",5.2,"two_warm_55","cool_warm_55","cool_2W7","cool_7","cool_warm"
"314","first",2023-04-03,"cool","2W7","2W","7","orange","warm","two","Siobhan Gray",13,11,72,NA,0,"Only 3 sand bags","55",7.2,"two_warm_55","cool_warm_55","cool_2W7","cool_7","cool_warm"
"316","first",2023-04-03,"cool","10C8","10C","8","green","cool","ten","Kristina Tietjen",17,13,12,NA,0,"","55",1.2,"ten_cool_55","cool_cool_55","cool_10C8","cool_8","cool_cool"
"317","first",2023-04-03,"cool","10C8","10C","8","green","cool","ten","Kristina Tietjen",17,13,14,NA,0,"","55",1.4,"ten_cool_55","cool_cool_55","cool_10C8","cool_8","cool_cool"
"318","first",2023-04-03,"cool","10C8","10C","8","green","cool","ten","Kristina Tietjen",17,13,34,NA,0,"","55",3.4,"ten_cool_55","cool_cool_55","cool_10C8","cool_8","cool_cool"
"319","first",2023-04-03,"cool","10C8","10C","8","green","cool","ten","Kristina Tietjen",17,13,55,NA,0,"","55",5.5,"ten_cool_55","cool_cool_55","cool_10C8","cool_8","cool_cool"
"320","first",2023-04-03,"cool","10C8","10C","8","green","cool","ten","Kristina Tietjen",17,13,97,NA,0,"","55",9.7,"ten_cool_55","cool_cool_55","cool_10C8","cool_8","cool_cool"
"321","first",2023-04-03,"cool","10W8","10W","8","red","warm","ten","Siobhan Gray",19,17,42,NA,0,"","55",4.2,"ten_warm_55","cool_warm_55","cool_10W8","cool_8","cool_warm"
"322","first",2023-04-03,"cool","10W8","10W","8","red","warm","ten","Siobhan Gray",19,17,58,NA,0,"","55",5.8,"ten_warm_55","cool_warm_55","cool_10W8","cool_8","cool_warm"
"323","first",2023-04-03,"cool","10W8","10W","8","red","warm","ten","Siobhan Gray",19,17,63,NA,0,"","55",6.3,"ten_warm_55","cool_warm_55","cool_10W8","cool_8","cool_warm"
"324","first",2023-04-03,"cool","10W8","10W","8","red","warm","ten","Siobhan Gray",19,17,66,NA,0,"","55",6.6,"ten_warm_55","cool_warm_55","cool_10W8","cool_8","cool_warm"
"325","first",2023-04-03,"cool","10W8","10W","8","red","warm","ten","Siobhan Gray",19,17,68,NA,0,"","55",6.8,"ten_warm_55","cool_warm_55","cool_10W8","cool_8","cool_warm"
"326","first",2023-04-03,"cool","2C8","2C","8","blue","cool","two","Clay Steell",15,7,12,NA,0,"1 out of plot with no blades","55",1.2,"two_cool_55","cool_cool_55","cool_2C8","cool_8","cool_cool"
"327","first",2023-04-03,"cool","2C8","2C","8","blue","cool","two","Clay Steell",15,7,18,NA,0,"1 out of plot with no blades","55",1.8,"two_cool_55","cool_cool_55","cool_2C8","cool_8","cool_cool"
"328","first",2023-04-03,"cool","2C8","2C","8","blue","cool","two","Clay Steell",15,7,24,NA,0,"1 out of plot with no blades","55",2.4,"two_cool_55","cool_cool_55","cool_2C8","cool_8","cool_cool"
"329","first",2023-04-03,"cool","2C8","2C","8","blue","cool","two","Clay Steell",15,7,29,NA,0,"1 out of plot with no blades","55",2.9,"two_cool_55","cool_cool_55","cool_2C8","cool_8","cool_cool"
"330","first",2023-04-03,"cool","2C8","2C","8","blue","cool","two","Clay Steell",15,7,42,NA,0,"1 out of plot with no blades","55",4.2,"two_cool_55","cool_cool_55","cool_2C8","cool_8","cool_cool"
"331","first",2023-04-03,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",18,16,35,NA,0,"Radula scrape marks on bags","55",3.5,"two_warm_55","cool_warm_55","cool_2W8","cool_8","cool_warm"
"332","first",2023-04-03,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",18,16,45,NA,0,"Radula scrape marks on bags","55",4.5,"two_warm_55","cool_warm_55","cool_2W8","cool_8","cool_warm"
"333","first",2023-04-03,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",18,16,55,NA,0,"Radula scrape marks on bags","55",5.5,"two_warm_55","cool_warm_55","cool_2W8","cool_8","cool_warm"
"334","first",2023-04-03,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",18,16,56,NA,0,"Radula scrape marks on bags","55",5.6,"two_warm_55","cool_warm_55","cool_2W8","cool_8","cool_warm"
"335","first",2023-04-03,"cool","2W8","2W","8","orange","warm","two","Lauren Dykman",18,16,60,NA,0,"Radula scrape marks on bags","55",6,"two_warm_55","cool_warm_55","cool_2W8","cool_8","cool_warm"
"337","fourth",2023-08-29,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",8,1,380,NA,0,"Collected in 10C1#1 bag","200",38,"ten_cool_200","warm_cool_200","warm_10C1","warm_1","warm_cool"
"338","fourth",2023-08-29,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",8,1,NA,NA,0,"Dead - took vid. 0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C1","warm_1","warm_cool"
"339","fourth",2023-08-29,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",8,1,NA,NA,0,"Dead - took vid. 0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C1","warm_1","warm_cool"
"340","fourth",2023-08-29,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",8,1,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C1","warm_1","warm_cool"
"341","fourth",2023-08-29,"warm","10C1","10C","1","green","cool","ten","Lauren Dykman",8,1,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C1","warm_1","warm_cool"
"342","fourth",2023-08-29,"warm","10W1","10W","1","","warm","ten","Clay Steell",NA,1,3560,130,0,"0 urchins","200",356,"ten_warm_200","warm_warm_200","warm_10W1","warm_1","warm_warm"
"343","fourth",2023-08-29,"warm","10W1","10W","1","","warm","ten","Clay Steell",NA,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W1","warm_1","warm_warm"
"344","fourth",2023-08-29,"warm","10W1","10W","1","","warm","ten","Clay Steell",NA,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W1","warm_1","warm_warm"
"345","fourth",2023-08-29,"warm","10W1","10W","1","","warm","ten","Clay Steell",NA,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W1","warm_1","warm_warm"
"346","fourth",2023-08-29,"warm","10W1","10W","1","","warm","ten","Clay Steell",NA,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W1","warm_1","warm_warm"
"347","fourth",2023-08-29,"warm","2C1","2C","1","blue","cool","two","Lauren Dykman",12,1,500,60,0,"0 urchins","200",50,"two_cool_200","warm_cool_200","warm_2C1","warm_1","warm_cool"
"348","fourth",2023-08-29,"warm","2C1","2C","1","blue","cool","two","Lauren Dykman",12,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C1","warm_1","warm_cool"
"349","fourth",2023-08-29,"warm","2C1","2C","1","blue","cool","two","Lauren Dykman",12,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C1","warm_1","warm_cool"
"350","fourth",2023-08-29,"warm","2C1","2C","1","blue","cool","two","Lauren Dykman",12,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C1","warm_1","warm_cool"
"351","fourth",2023-08-29,"warm","2C1","2C","1","blue","cool","two","Lauren Dykman",12,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C1","warm_1","warm_cool"
"352","fourth",2023-08-29,"warm","2W1","2W","1","","warm","two","Clay Steell",NA,3,725,65,0,"0 urchins","200",72.5,"two_warm_200","warm_warm_200","warm_2W1","warm_1","warm_warm"
"353","fourth",2023-08-29,"warm","2W1","2W","1","","warm","two","Clay Steell",NA,3,740,70,0,"0 urchins","200",74,"two_warm_200","warm_warm_200","warm_2W1","warm_1","warm_warm"
"354","fourth",2023-08-29,"warm","2W1","2W","1","","warm","two","Clay Steell",NA,3,750,50,0,"~2m outside plot","200",75,"two_warm_200","warm_warm_200","warm_2W1","warm_1","warm_warm"
"355","fourth",2023-08-29,"warm","2W1","2W","1","","warm","two","Clay Steell",NA,3,NA,NA,0,"found grazed outside plot ~2m from C2","200",NA,"two_warm_200","warm_warm_200","warm_2W1","warm_1","warm_warm"
"356","fourth",2023-08-29,"warm","2W1","2W","1","","warm","two","Clay Steell",NA,3,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W1","warm_1","warm_warm"
"358","fourth",2023-08-29,"warm","10C2","10C","2","","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C2","warm_2","warm_cool"
"359","fourth",2023-08-29,"warm","10C2","10C","2","","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C2","warm_2","warm_cool"
"360","fourth",2023-08-29,"warm","10C2","10C","2","","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C2","warm_2","warm_cool"
"361","fourth",2023-08-29,"warm","10C2","10C","2","","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C2","warm_2","warm_cool"
"362","fourth",2023-08-29,"warm","10C2","10C","2","","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C2","warm_2","warm_cool"
"363","fourth",2023-08-29,"warm","10W2","10W","2",NA,"warm","ten","Lauren Dykman",11,1,160,NA,0,"mostly eaten - should remove from length analysis","200",16,"ten_warm_200","warm_warm_200","warm_10W2","warm_2","warm_warm"
"364","fourth",2023-08-29,"warm","10W2","10W","2",NA,"warm","ten","Lauren Dykman",11,1,NA,NA,0,"found grazed in 10C2; found tag","200",NA,"ten_warm_200","warm_warm_200","warm_10W2","warm_2","warm_warm"
"365","fourth",2023-08-29,"warm","10W2","10W","2",NA,"warm","ten","Lauren Dykman",11,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W2","warm_2","warm_warm"
"366","fourth",2023-08-29,"warm","10W2","10W","2",NA,"warm","ten","Lauren Dykman",11,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W2","warm_2","warm_warm"
"367","fourth",2023-08-29,"warm","10W2","10W","2",NA,"warm","ten","Lauren Dykman",11,1,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W2","warm_2","warm_warm"
"368","fourth",2023-08-29,"warm","2C2","2C","2","","cool","two","Clay Steell",NA,4,350,40,1,"1 urchin","200",35,"two_cool_200","warm_cool_200","warm_2C2","warm_2","warm_cool"
"369","fourth",2023-08-29,"warm","2C2","2C","2","","cool","two","Clay Steell",NA,4,520,17,1,"1 urchin","200",52,"two_cool_200","warm_cool_200","warm_2C2","warm_2","warm_cool"
"370","fourth",2023-08-29,"warm","2C2","2C","2","","cool","two","Clay Steell",NA,4,790,45,1,"1 urchin; looked poorly; no large or intact blades left","200",79,"two_cool_200","warm_cool_200","warm_2C2","warm_2","warm_cool"
"371","fourth",2023-08-29,"warm","2C2","2C","2","","cool","two","Clay Steell",NA,4,1790,50,1,"1 urchin","200",179,"two_cool_200","warm_cool_200","warm_2C2","warm_2","warm_cool"
"372","fourth",2023-08-29,"warm","2C2","2C","2","","cool","two","Clay Steell",NA,4,NA,NA,1,"grazed by 10W2","200",NA,"two_cool_200","warm_cool_200","warm_2C2","warm_2","warm_cool"
"373","fourth",2023-08-29,"warm","2W2","2W","2",NA,"warm","two","Lauren Dykman",12,0,NA,NA,1,"1 urchin; kelp confirmed dead - found tag","200",NA,"two_warm_200","warm_warm_200","warm_2W2","warm_2","warm_warm"
"374","fourth",2023-08-29,"warm","2W2","2W","2",NA,"warm","two","Lauren Dykman",12,0,NA,NA,1,"1 urchin; kelp confirmed dead - found tag","200",NA,"two_warm_200","warm_warm_200","warm_2W2","warm_2","warm_warm"
"375","fourth",2023-08-29,"warm","2W2","2W","2",NA,"warm","two","Lauren Dykman",12,0,NA,NA,1,"1 urchin; kelp confirmed dead - found tag","200",NA,"two_warm_200","warm_warm_200","warm_2W2","warm_2","warm_warm"
"376","fourth",2023-08-29,"warm","2W2","2W","2",NA,"warm","two","Lauren Dykman",12,0,NA,NA,1,"1 urchin; kelp confirmed dead - found tag","200",NA,"two_warm_200","warm_warm_200","warm_2W2","warm_2","warm_warm"
"377","fourth",2023-08-29,"warm","2W2","2W","2",NA,"warm","two","Lauren Dykman",12,0,NA,NA,1,"1 urchin; kelp confirmed dead - found tag","200",NA,"two_warm_200","warm_warm_200","warm_2W2","warm_2","warm_warm"
"379","fourth",2023-08-29,"warm","10C3","10C","3","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C3","warm_3","warm_cool"
"380","fourth",2023-08-29,"warm","10C3","10C","3","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C3","warm_3","warm_cool"
"381","fourth",2023-08-29,"warm","10C3","10C","3","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C3","warm_3","warm_cool"
"382","fourth",2023-08-29,"warm","10C3","10C","3","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C3","warm_3","warm_cool"
"383","fourth",2023-08-29,"warm","10C3","10C","3","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C3","warm_3","warm_cool"
"384","fourth",2023-08-29,"warm","10W3","10W","3","red","warm","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W3","warm_3","warm_warm"
"385","fourth",2023-08-29,"warm","10W3","10W","3","red","warm","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W3","warm_3","warm_warm"
"386","fourth",2023-08-29,"warm","10W3","10W","3","red","warm","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W3","warm_3","warm_warm"
"387","fourth",2023-08-29,"warm","10W3","10W","3","red","warm","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W3","warm_3","warm_warm"
"388","fourth",2023-08-29,"warm","10W3","10W","3","red","warm","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W3","warm_3","warm_warm"
"389","fourth",2023-08-29,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",6,1,335,20,0,"0 urchins","200",33.5,"two_cool_200","warm_cool_200","warm_2C3","warm_3","warm_cool"
"390","fourth",2023-08-29,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",6,1,NA,NA,0,"0 urchins; dead found tag.","200",NA,"two_cool_200","warm_cool_200","warm_2C3","warm_3","warm_cool"
"391","fourth",2023-08-29,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",6,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C3","warm_3","warm_cool"
"392","fourth",2023-08-29,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",6,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C3","warm_3","warm_cool"
"393","fourth",2023-08-29,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",6,1,NA,NA,0,"0 urchins","200",NA,"two_cool_200","warm_cool_200","warm_2C3","warm_3","warm_cool"
"394","fourth",2023-08-29,"warm","2W3","2W","3","orange","warm","two","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W3","warm_3","warm_warm"
"395","fourth",2023-08-29,"warm","2W3","2W","3","orange","warm","two","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W3","warm_3","warm_warm"
"396","fourth",2023-08-29,"warm","2W3","2W","3","orange","warm","two","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W3","warm_3","warm_warm"
"397","fourth",2023-08-29,"warm","2W3","2W","3","orange","warm","two","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W3","warm_3","warm_warm"
"398","fourth",2023-08-29,"warm","2W3","2W","3","orange","warm","two","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W3","warm_3","warm_warm"
"400","fourth",2023-08-29,"warm","10C4","10C","4","green","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C4","warm_4","warm_cool"
"401","fourth",2023-08-29,"warm","10C4","10C","4","green","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C4","warm_4","warm_cool"
"402","fourth",2023-08-29,"warm","10C4","10C","4","green","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C4","warm_4","warm_cool"
"403","fourth",2023-08-29,"warm","10C4","10C","4","green","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C4","warm_4","warm_cool"
"404","fourth",2023-08-29,"warm","10C4","10C","4","green","cool","ten","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C4","warm_4","warm_cool"
"405","fourth",2023-08-29,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",6,0,NA,NA,0,"Dead - found tag.","200",NA,"ten_warm_200","warm_warm_200","warm_10W4","warm_4","warm_warm"
"406","fourth",2023-08-29,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",6,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W4","warm_4","warm_warm"
"407","fourth",2023-08-29,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",6,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W4","warm_4","warm_warm"
"408","fourth",2023-08-29,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",6,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W4","warm_4","warm_warm"
"409","fourth",2023-08-29,"warm","10W4","10W","4","red","warm","ten","Lauren Dykman",6,0,NA,NA,0,"0 urchins","200",NA,"ten_warm_200","warm_warm_200","warm_10W4","warm_4","warm_warm"
"410","fourth",2023-08-29,"warm","2C4","2C","4",NA,"cool","two","Lauren Dykman",NA,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C4","warm_4","warm_cool"
"411","fourth",2023-08-29,"warm","2C4","2C","4",NA,"cool","two","Lauren Dykman",NA,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C4","warm_4","warm_cool"
"412","fourth",2023-08-29,"warm","2C4","2C","4",NA,"cool","two","Lauren Dykman",NA,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C4","warm_4","warm_cool"
"413","fourth",2023-08-29,"warm","2C4","2C","4",NA,"cool","two","Lauren Dykman",NA,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C4","warm_4","warm_cool"
"414","fourth",2023-08-29,"warm","2C4","2C","4",NA,"cool","two","Lauren Dykman",NA,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C4","warm_4","warm_cool"
"415","fourth",2023-08-29,"warm","2W4","2W","4","orange","warm","two","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W4","warm_4","warm_warm"
"416","fourth",2023-08-29,"warm","2W4","2W","4","orange","warm","two","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W4","warm_4","warm_warm"
"417","fourth",2023-08-29,"warm","2W4","2W","4","orange","warm","two","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W4","warm_4","warm_warm"
"418","fourth",2023-08-29,"warm","2W4","2W","4","orange","warm","two","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W4","warm_4","warm_warm"
"419","fourth",2023-08-29,"warm","2W4","2W","4","orange","warm","two","Clay Steell",NA,0,NA,NA,0,"0 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W4","warm_4","warm_warm"
"421","fourth",2023-08-29,"warm","10C5","10C","5","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C5","warm_5","warm_cool"
"422","fourth",2023-08-29,"warm","10C5","10C","5","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C5","warm_5","warm_cool"
"423","fourth",2023-08-29,"warm","10C5","10C","5","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C5","warm_5","warm_cool"
"424","fourth",2023-08-29,"warm","10C5","10C","5","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C5","warm_5","warm_cool"
"425","fourth",2023-08-29,"warm","10C5","10C","5","green","cool","ten","Lauren Dykman",NA,0,NA,NA,0,"0 urchins","200",NA,"ten_cool_200","warm_cool_200","warm_10C5","warm_5","warm_cool"
"426","fourth",2023-08-29,"warm","10W5","10W","5","red","warm","ten","Clay Steell",NA,0,NA,NA,1,"1 urchin","200",NA,"ten_warm_200","warm_warm_200","warm_10W5","warm_5","warm_warm"
"427","fourth",2023-08-29,"warm","10W5","10W","5","red","warm","ten","Clay Steell",NA,0,NA,NA,1,"1 urchin","200",NA,"ten_warm_200","warm_warm_200","warm_10W5","warm_5","warm_warm"
"428","fourth",2023-08-29,"warm","10W5","10W","5","red","warm","ten","Clay Steell",NA,0,NA,NA,1,"1 urchin","200",NA,"ten_warm_200","warm_warm_200","warm_10W5","warm_5","warm_warm"
"429","fourth",2023-08-29,"warm","10W5","10W","5","red","warm","ten","Clay Steell",NA,0,NA,NA,1,"1 urchin","200",NA,"ten_warm_200","warm_warm_200","warm_10W5","warm_5","warm_warm"
"430","fourth",2023-08-29,"warm","10W5","10W","5","red","warm","ten","Clay Steell",NA,0,NA,NA,1,"1 urchin","200",NA,"ten_warm_200","warm_warm_200","warm_10W5","warm_5","warm_warm"
"431","fourth",2023-08-29,"warm","2C5","2C","5","blue","cool","two","Lauren Dykman",12,0,NA,NA,0,"Eaten took vid.","200",NA,"two_cool_200","warm_cool_200","warm_2C5","warm_5","warm_cool"
"432","fourth",2023-08-29,"warm","2C5","2C","5","blue","cool","two","Lauren Dykman",12,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C5","warm_5","warm_cool"
"433","fourth",2023-08-29,"warm","2C5","2C","5","blue","cool","two","Lauren Dykman",12,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C5","warm_5","warm_cool"
"434","fourth",2023-08-29,"warm","2C5","2C","5","blue","cool","two","Lauren Dykman",12,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C5","warm_5","warm_cool"
"435","fourth",2023-08-29,"warm","2C5","2C","5","blue","cool","two","Lauren Dykman",12,0,NA,NA,0,"","200",NA,"two_cool_200","warm_cool_200","warm_2C5","warm_5","warm_cool"
"436","fourth",2023-08-29,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W5","warm_5","warm_warm"
"437","fourth",2023-08-29,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W5","warm_5","warm_warm"
"438","fourth",2023-08-29,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",NA,0,NA,NA,2,"2 urchins","200",NA,"two_warm_200","warm_warm_200","warm_2W5","warm_5","warm_warm"
