monitoring_period,date,site,plot_id,treatment,replicate_number,tag_color,source_population,parent_number,observer,number_gravels_remaining,number_gravels_with_kelp,length_mm,holdfast_diameter_mm,urchins,notes
first,2023-04-03,Ed King,10C4,10C,4,green,cool,ten,Clay Steell,17,16,60,NA,0,big natural settler (~100mm)
first,2023-04-03,Ed King,10C4,10C,4,green,cool,ten,Clay Steell,17,16,72,NA,0,big natural settler (~100mm)
first,2023-04-03,Ed King,10C4,10C,4,green,cool,ten,Clay Steell,17,16,73,NA,0,big natural settler (~100mm)
first,2023-04-03,Ed King,10W4,10W,4,red,warm,ten,Siobhan Gray,19,18,46,NA,0,
first,2023-04-03,Ed King,10W4,10W,4,red,warm,ten,Siobhan Gray,19,18,52,NA,0,
first,2023-04-03,Ed King,10W4,10W,4,red,warm,ten,Siobhan Gray,19,18,54,NA,0,
first,2023-04-03,Ed King,10W4,10W,4,red,warm,ten,Siobhan Gray,19,18,59,NA,0,
first,2023-04-03,Ed King,10W4,10W,4,red,warm,ten,Siobhan Gray,19,18,62,NA,0,
first,2023-04-05,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,16,16,55,NA,0,"This was labeled wrong, was actually treatment 2C4."
first,2023-04-05,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,16,16,60,NA,0,"This was labeled wrong, was actually treatment 2C4."
first,2023-04-05,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,16,16,62,NA,0,"This was labeled wrong, was actually treatment 2C4."
first,2023-04-05,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,16,16,68,NA,0,"This was labeled wrong, was actually treatment 2C4."
first,2023-04-05,Ed King,C4,2C,4,yellow,cool,two,Lauren Dykman,16,16,78,NA,0,"This was labeled wrong, was actually treatment 2C4."
first,2023-04-03,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,19,19,65,NA,0,
first,2023-04-03,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,19,19,65,NA,0,
first,2023-04-03,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,19,19,68,NA,0,
first,2023-04-03,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,19,19,72,NA,0,
first,2023-04-03,Ed King,2W4,2W,4,orange,warm,two,Lauren Dykman,19,19,100,NA,0,
first,2023-04-05,Ed King,2C4,Control,4,blue,NA,NA,Lauren Dykman,NA,NA,NA,NA,0,"12 rocks with brown algae. This was labeled wrong, was actually the control plot. The gravels for this treatment are in C4."
first,2023-04-03,Ed King,10C5,10C,5,green,cool,ten,Siobhan Gray,17,16,86,NA,1,
first,2023-04-03,Ed King,10C5,10C,5,green,cool,ten,Siobhan Gray,17,16,91,NA,1,
first,2023-04-03,Ed King,10C5,10C,5,green,cool,ten,Siobhan Gray,17,16,104,NA,1,
first,2023-04-03,Ed King,10C5,10C,5,green,cool,ten,Siobhan Gray,17,16,109,NA,1,
first,2023-04-03,Ed King,10C5,10C,5,green,cool,ten,Siobhan Gray,17,16,131,NA,1,
first,2023-04-03,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,16,13,17,NA,0,
first,2023-04-03,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,16,13,25,NA,0,
first,2023-04-03,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,16,13,37,NA,0,
first,2023-04-03,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,16,13,42,NA,0,
first,2023-04-03,Ed King,10W5,10W,5,red,warm,ten,Lauren Dykman,16,13,55,NA,0,
first,2023-04-03,Ed King,2C5,2C,5,NR,cool,two,Clay Steell,16,12,63,NA,0,
first,2023-04-03,Ed King,2C5,2C,5,NR,cool,two,Clay Steell,16,12,75,NA,0,
first,2023-04-03,Ed King,2C5,2C,5,NR,cool,two,Clay Steell,16,12,77,NA,0,
first,2023-04-03,Ed King,2C5,2C,5,NR,cool,two,Clay Steell,16,12,87,NA,0,
first,2023-04-03,Ed King,2C5,2C,5,NR,cool,two,Clay Steell,16,12,115,NA,0,
first,2023-04-03,Ed King,2W5,2W,5,orange,warm,two,Kristina Tietjen,18,14,72,NA,0,
first,2023-04-03,Ed King,2W5,2W,5,orange,warm,two,Kristina Tietjen,18,14,78,NA,0,
first,2023-04-03,Ed King,2W5,2W,5,orange,warm,two,Kristina Tietjen,18,14,86,NA,0,
first,2023-04-03,Ed King,2W5,2W,5,orange,warm,two,Kristina Tietjen,18,14,111,NA,0,
first,2023-04-03,Ed King,2W5,2W,5,orange,warm,two,Kristina Tietjen,18,14,121,NA,0,
first,2023-04-05,Ed King,C5,Control,5,yellow,NA,NA,Siobhan Gray,NA,NA,NA,NA,0,15 rocks with kelp
first,2023-04-03,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,14,11,15,NA,2,2 urchins in plot
first,2023-04-03,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,14,11,18,NA,2,2 urchins in plot
first,2023-04-03,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,14,11,20,NA,2,2 urchins in plot
first,2023-04-03,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,14,11,25,NA,2,2 urchins in plot
first,2023-04-03,Ed King,10C6,10C,6,green,cool,ten,Lauren Dykman,14,11,27,NA,2,2 urchins in plot
first,2023-04-03,Ed King,10W6,10W,6,red,warm,ten,Kristina Tietjen,16,16,21,NA,0,
first,2023-04-03,Ed King,10W6,10W,6,red,warm,ten,Kristina Tietjen,16,16,36,NA,0,
first,2023-04-03,Ed King,10W6,10W,6,red,warm,ten,Kristina Tietjen,16,16,46,NA,0,
first,2023-04-03,Ed King,10W6,10W,6,red,warm,ten,Kristina Tietjen,16,16,47,NA,0,
first,2023-04-03,Ed King,10W6,10W,6,red,warm,ten,Kristina Tietjen,16,16,54,NA,0,
first,2023-04-03,Ed King,2C6,2C,6,blue,cool,two,Siobhan Gray,20,14,24,NA,0,
first,2023-04-03,Ed King,2C6,2C,6,blue,cool,two,Siobhan Gray,20,14,28,NA,0,
first,2023-04-03,Ed King,2C6,2C,6,blue,cool,two,Siobhan Gray,20,14,29,NA,0,
first,2023-04-03,Ed King,2C6,2C,6,blue,cool,two,Siobhan Gray,20,14,36,NA,0,
first,2023-04-03,Ed King,2C6,2C,6,blue,cool,two,Siobhan Gray,20,14,52,NA,0,
first,2023-04-03,Ed King,2W6,2W,6,yellow,warm,two,Clay Steell,16,16,31,NA,1,urchin close
first,2023-04-03,Ed King,2W6,2W,6,yellow,warm,two,Clay Steell,16,16,40,NA,1,urchin close
first,2023-04-03,Ed King,2W6,2W,6,yellow,warm,two,Clay Steell,16,16,43,NA,1,urchin close
first,2023-04-03,Ed King,2W6,2W,6,yellow,warm,two,Clay Steell,16,16,45,NA,1,urchin close
first,2023-04-03,Ed King,2W6,2W,6,yellow,warm,two,Clay Steell,16,16,51,NA,1,urchin close
first,2023-04-03,Ed King,C6,Control,6,yellow,NA,NA,Clay Steell,NA,NA,NA,NA,0,1 blade and Pterygophora
first,2023-04-03,Ed King,10C7,10C,7,green,cool,ten,Kristina Tietjen,18,9,11,NA,0,
first,2023-04-03,Ed King,10C7,10C,7,green,cool,ten,Kristina Tietjen,18,9,18,NA,0,
first,2023-04-03,Ed King,10C7,10C,7,green,cool,ten,Kristina Tietjen,18,9,32,NA,0,
first,2023-04-03,Ed King,10C7,10C,7,green,cool,ten,Kristina Tietjen,18,9,39,NA,0,
first,2023-04-03,Ed King,10C7,10C,7,green,cool,ten,Kristina Tietjen,18,9,42,NA,0,
first,2023-04-03,Ed King,10W7,10W,7,red,warm,ten,Clay Steell,17,16,31,NA,0,2 out of plot with no blades
first,2023-04-03,Ed King,10W7,10W,7,red,warm,ten,Clay Steell,17,16,34,NA,0,2 out of plot with no blades
first,2023-04-03,Ed King,10W7,10W,7,red,warm,ten,Clay Steell,17,16,36,NA,0,2 out of plot with no blades
first,2023-04-03,Ed King,10W7,10W,7,red,warm,ten,Clay Steell,17,16,40,NA,0,2 out of plot with no blades
first,2023-04-03,Ed King,10W7,10W,7,red,warm,ten,Clay Steell,17,16,42,NA,0,2 out of plot with no blades
first,2023-04-03,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,16,13,45,NA,0,One gravel on a sand bag and I moved it inside; One gravel outside plot
first,2023-04-03,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,16,13,45,NA,0,One gravel on a sand bag and I moved it inside; One gravel outside plot
first,2023-04-03,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,16,13,47,NA,0,One gravel on a sand bag and I moved it inside; One gravel outside plot
first,2023-04-03,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,16,13,55,NA,0,One gravel on a sand bag and I moved it inside; One gravel outside plot
first,2023-04-03,Ed King,2C7,2C,7,blue,cool,two,Lauren Dykman,16,13,57,NA,0,One gravel on a sand bag and I moved it inside; One gravel outside plot
first,2023-04-03,Ed King,2W7,2W,7,orange,warm,two,Siobhan Gray,13,11,41,NA,0,Only 3 sand bags
first,2023-04-03,Ed King,2W7,2W,7,orange,warm,two,Siobhan Gray,13,11,43,NA,0,Only 3 sand bags
first,2023-04-03,Ed King,2W7,2W,7,orange,warm,two,Siobhan Gray,13,11,48,NA,0,Only 3 sand bags
first,2023-04-03,Ed King,2W7,2W,7,orange,warm,two,Siobhan Gray,13,11,52,NA,0,Only 3 sand bags
first,2023-04-03,Ed King,2W7,2W,7,orange,warm,two,Siobhan Gray,13,11,72,NA,0,Only 3 sand bags
first,2023-04-03,Ed King,C7,Control,7,yellow,NA,NA,Siobhan Gray,NA,NA,NA,NA,0,"6 rocks with kelp; Pisaster holding white rock outside of control plot, far side."
first,2023-04-03,Ed King,10C8,10C,8,green,cool,ten,Kristina Tietjen,17,13,12,NA,0,
first,2023-04-03,Ed King,10C8,10C,8,green,cool,ten,Kristina Tietjen,17,13,14,NA,0,
first,2023-04-03,Ed King,10C8,10C,8,green,cool,ten,Kristina Tietjen,17,13,34,NA,0,
first,2023-04-03,Ed King,10C8,10C,8,green,cool,ten,Kristina Tietjen,17,13,55,NA,0,
first,2023-04-03,Ed King,10C8,10C,8,green,cool,ten,Kristina Tietjen,17,13,97,NA,0,
first,2023-04-03,Ed King,10W8,10W,8,red,warm,ten,Siobhan Gray,19,17,42,NA,0,
first,2023-04-03,Ed King,10W8,10W,8,red,warm,ten,Siobhan Gray,19,17,58,NA,0,
first,2023-04-03,Ed King,10W8,10W,8,red,warm,ten,Siobhan Gray,19,17,63,NA,0,
first,2023-04-03,Ed King,10W8,10W,8,red,warm,ten,Siobhan Gray,19,17,66,NA,0,
first,2023-04-03,Ed King,10W8,10W,8,red,warm,ten,Siobhan Gray,19,17,68,NA,0,
first,2023-04-03,Ed King,2C8,2C,8,blue,cool,two,Clay Steell,15,7,12,NA,0,1 out of plot with no blades
first,2023-04-03,Ed King,2C8,2C,8,blue,cool,two,Clay Steell,15,7,18,NA,0,1 out of plot with no blades
first,2023-04-03,Ed King,2C8,2C,8,blue,cool,two,Clay Steell,15,7,24,NA,0,1 out of plot with no blades
first,2023-04-03,Ed King,2C8,2C,8,blue,cool,two,Clay Steell,15,7,29,NA,0,1 out of plot with no blades
first,2023-04-03,Ed King,2C8,2C,8,blue,cool,two,Clay Steell,15,7,42,NA,0,1 out of plot with no blades
first,2023-04-03,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,18,16,35,NA,0,Radula scrape marks on bags
first,2023-04-03,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,18,16,45,NA,0,Radula scrape marks on bags
first,2023-04-03,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,18,16,55,NA,0,Radula scrape marks on bags
first,2023-04-03,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,18,16,56,NA,0,Radula scrape marks on bags
first,2023-04-03,Ed King,2W8,2W,8,orange,warm,two,Lauren Dykman,18,16,60,NA,0,Radula scrape marks on bags
first,2023-04-03,Ed King,C8,Control,8,yellow,NA,NA,Lauren Dykman,NA,NA,NA,NA,0,7 rocks with brown algae
fourth,2023-08-29,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,8,1,380,NA,0,Collected in 10C1#1 bag
fourth,2023-08-29,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,8,1,NA,NA,0,Dead - took vid. 0 urchins
fourth,2023-08-29,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,8,1,NA,NA,0,Dead - took vid. 0 urchins
fourth,2023-08-29,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,8,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C1,10C,1,green,cool,ten,Lauren Dykman,8,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W1,10W,1,,warm,ten,Clay Steell,NA,1,3560,130,0,0 urchins
fourth,2023-08-29,Dixon,10W1,10W,1,,warm,ten,Clay Steell,NA,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W1,10W,1,,warm,ten,Clay Steell,NA,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W1,10W,1,,warm,ten,Clay Steell,NA,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W1,10W,1,,warm,ten,Clay Steell,NA,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C1,2C,1,blue,cool,two,Lauren Dykman,12,1,500,60,0,0 urchins
fourth,2023-08-29,Dixon,2C1,2C,1,blue,cool,two,Lauren Dykman,12,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C1,2C,1,blue,cool,two,Lauren Dykman,12,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C1,2C,1,blue,cool,two,Lauren Dykman,12,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C1,2C,1,blue,cool,two,Lauren Dykman,12,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W1,2W,1,,warm,two,Clay Steell,NA,3,725,65,0,0 urchins
fourth,2023-08-29,Dixon,2W1,2W,1,,warm,two,Clay Steell,NA,3,740,70,0,0 urchins
fourth,2023-08-29,Dixon,2W1,2W,1,,warm,two,Clay Steell,NA,3,750,50,0,~2m outside plot
fourth,2023-08-29,Dixon,2W1,2W,1,,warm,two,Clay Steell,NA,3,NA,NA,0,found grazed outside plot ~2m from C2
fourth,2023-08-29,Dixon,2W1,2W,1,,warm,two,Clay Steell,NA,3,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,C1,Control,1,yellow,NA,NA,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C2,10C,2,,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C2,10C,2,,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C2,10C,2,,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C2,10C,2,,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C2,10C,2,,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W2,10W,2,NA,warm,ten,Lauren Dykman,11,1,160,NA,0,mostly eaten - should remove from length analysis
fourth,2023-08-29,Dixon,10W2,10W,2,NA,warm,ten,Lauren Dykman,11,1,NA,NA,0,found grazed in 10C2; found tag
fourth,2023-08-29,Dixon,10W2,10W,2,NA,warm,ten,Lauren Dykman,11,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W2,10W,2,NA,warm,ten,Lauren Dykman,11,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W2,10W,2,NA,warm,ten,Lauren Dykman,11,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C2,2C,2,,cool,two,Clay Steell,NA,4,350,40,1,1 urchin
fourth,2023-08-29,Dixon,2C2,2C,2,,cool,two,Clay Steell,NA,4,520,17,1,1 urchin
fourth,2023-08-29,Dixon,2C2,2C,2,,cool,two,Clay Steell,NA,4,790,45,1,1 urchin; looked poorly; no large or intact blades left
fourth,2023-08-29,Dixon,2C2,2C,2,,cool,two,Clay Steell,NA,4,1790,50,1,1 urchin
fourth,2023-08-29,Dixon,2C2,2C,2,,cool,two,Clay Steell,NA,4,NA,NA,1,grazed by 10W2
fourth,2023-08-29,Dixon,2W2,2W,2,NA,warm,two,Lauren Dykman,12,0,NA,NA,1,1 urchin; kelp confirmed dead - found tag
fourth,2023-08-29,Dixon,2W2,2W,2,NA,warm,two,Lauren Dykman,12,0,NA,NA,1,1 urchin; kelp confirmed dead - found tag
fourth,2023-08-29,Dixon,2W2,2W,2,NA,warm,two,Lauren Dykman,12,0,NA,NA,1,1 urchin; kelp confirmed dead - found tag
fourth,2023-08-29,Dixon,2W2,2W,2,NA,warm,two,Lauren Dykman,12,0,NA,NA,1,1 urchin; kelp confirmed dead - found tag
fourth,2023-08-29,Dixon,2W2,2W,2,NA,warm,two,Lauren Dykman,12,0,NA,NA,1,1 urchin; kelp confirmed dead - found tag
fourth,2023-08-29,Dixon,C2,Control,2,yellow,NA,NA,Clay Steell,NA,0,NA,NA,2,2 urchins
fourth,2023-08-29,Dixon,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C3,10C,3,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W3,10W,3,red,warm,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W3,10W,3,red,warm,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W3,10W,3,red,warm,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W3,10W,3,red,warm,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W3,10W,3,red,warm,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,6,1,335,20,0,0 urchins
fourth,2023-08-29,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,6,1,NA,NA,0,0 urchins; dead found tag.
fourth,2023-08-29,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,6,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,6,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,6,1,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W3,2W,3,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W3,2W,3,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W3,2W,3,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W3,2W,3,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W3,2W,3,orange,warm,two,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,C3,Control,3,yellow,NA,NA,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C4,10C,4,green,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C4,10C,4,green,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C4,10C,4,green,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C4,10C,4,green,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C4,10C,4,green,cool,ten,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W4,10W,4,red,warm,ten,Lauren Dykman,6,0,NA,NA,0,Dead - found tag.
fourth,2023-08-29,Dixon,10W4,10W,4,red,warm,ten,Lauren Dykman,6,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W4,10W,4,red,warm,ten,Lauren Dykman,6,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W4,10W,4,red,warm,ten,Lauren Dykman,6,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W4,10W,4,red,warm,ten,Lauren Dykman,6,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2C4,2C,4,NA,cool,two,Lauren Dykman,NA,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C4,2C,4,NA,cool,two,Lauren Dykman,NA,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C4,2C,4,NA,cool,two,Lauren Dykman,NA,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C4,2C,4,NA,cool,two,Lauren Dykman,NA,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C4,2C,4,NA,cool,two,Lauren Dykman,NA,0,NA,NA,0,
fourth,2023-08-29,Dixon,2W4,2W,4,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W4,2W,4,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W4,2W,4,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W4,2W,4,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,2W4,2W,4,orange,warm,two,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,C4,Control,4,yellow,NA,NA,Clay Steell,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10C5,10C,5,green,cool,ten,Lauren Dykman,NA,0,NA,NA,0,0 urchins
fourth,2023-08-29,Dixon,10W5,10W,5,red,warm,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W5,10W,5,red,warm,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W5,10W,5,red,warm,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W5,10W,5,red,warm,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W5,10W,5,red,warm,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2C5,2C,5,blue,cool,two,Lauren Dykman,12,0,NA,NA,0,Eaten took vid.
fourth,2023-08-29,Dixon,2C5,2C,5,blue,cool,two,Lauren Dykman,12,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C5,2C,5,blue,cool,two,Lauren Dykman,12,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C5,2C,5,blue,cool,two,Lauren Dykman,12,0,NA,NA,0,
fourth,2023-08-29,Dixon,2C5,2C,5,blue,cool,two,Lauren Dykman,12,0,NA,NA,0,
fourth,2023-08-29,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-29,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-29,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-29,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-29,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,NA,0,NA,NA,2,2 urchins
fourth,2023-08-29,Dixon,C5,Control,5,yellow,NA,NA,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10C6,10C,6,NA,cool,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10C6,10C,6,NA,cool,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10C6,10C,6,NA,cool,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10C6,10C,6,NA,cool,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10C6,10C,6,NA,cool,ten,Clay Steell,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2C6,2C,6,blue,cool,two,Clay Steell,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C6,2C,6,blue,cool,two,Clay Steell,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C6,2C,6,blue,cool,two,Clay Steell,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C6,2C,6,blue,cool,two,Clay Steell,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2C6,2C,6,blue,cool,two,Clay Steell,NA,0,NA,NA,3,3 urchins
fourth,2023-08-29,Dixon,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,2W6,2W,6,orange,warm,two,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,C6,Control,6,yellow,NA,NA,Lauren Dykman,NA,0,NA,NA,1,1 urchin
fourth,2023-08-29,Dixon,10C7,10C,7,green,cool,ten,Clay Steell,NA,0,NA,NA,4,4 urchins.
fourth,2023-08-29,Dixon,10C7,10C,7,green,cool,ten,Clay Steell,NA,0,NA,NA,4,4 urchins.
fourth,2023-08-29,Dixon,10C7,10C,7,green,cool,ten,Clay Steell,NA,0,NA,NA,4,4 urchins.
fourth,2023-08-29,Dixon,10C7,10C,7,green,cool,ten,Clay Steell,NA,0,NA,NA,4,4 urchins.
fourth,2023-08-29,Dixon,10C7,10C,7,green,cool,ten,Clay Steell,NA,0,NA,NA,4,4 urchins.
